Come quickly!	Przyjdź szybko!
They're all the same size.	Wszystkie są w tym samym rozmiarze.
Stay down!	Nie podnoś się!
Tom was a bad boy.	Tom był złym chłopcem.
Tom practiced his scales all day.	Tom cały dzień ćwiczył skalę.
I remembered riding home in a pickup truck last Sunday.	Przypomniałem sobie, jak w ostatnią niedzielę jechałem do domu małą ciężarówką.
Tom put the pill in his mouth and drank some water.	Tom włożył tabletkę do ust i wypił trochę wody.
Look at the dog jump.	Popatrz na tego skaczącego psa.
Can I get a goodnight kiss?	Dostanę buziaka na dobranoc?
Tom picked up the pot of coffee and refilled his and Mary's cups.	Tom wziął dzbanek z kawą i uzupełnił swój i Mary kubek.
He was a rugby player.	Był rugbystą.
If you don't want to go, you don't need to.	Jeśli nie chcesz iść, nie musisz.
We must act quickly.	Musimy działać szybko.
Were you sick?	Byłeś chory?
He objected to our plan.	Sprzeciwiał się naszemu planowi.
Flowers attract bees.	Kwiaty przyciągają pszczoły.
We all live in the same neighborhood.	Wszyscy mieszkamy w sąsiedztwie.
What did they come up with?	Co wymyślili?
Start the car.	Zapal samochód.
I come here every Monday.	Przychodzę tu co poniedziałek.
Who wants another piece of cake?	Kto chce jeszcze kawałek ciasta?
May I turn off the lights?	Czy mogę wyłączyć światła?
I like loud music.	Lubię głośną muzykę.
Lunch is ready.	Obiad czeka.
How could you not tell me about that?	Jak mogłeś mi o tym nie powiedzieć?
Tom didn't know how unhappy Mary was.	Tom nie wiedział, jak bardzo Mary jest nieszczęśliwa.
They won't be in time for the meeting.	Nie zdążą na czas na spotkanie.
I'm going to fix it.	Naprawię to.
She has broken the toaster again.	Znowu popsuła toster.
I like mahjong.	Lubię madżong.
We're just checking it out.	Tylko to sprawdzamy.
Tom is short.	Tom jest niski.
I'm sure Tom will turn up.	Jestem pewien, że Tom się zjawi.
They'll build a house.	Zbudują dom.
The door won't close.	Drzwi się nie zamkną.
Don't trust him.	Nie wierz mu.
Tom is lying to protect me.	Tom kłamie, żeby mnie chronić.
I'm a bit late.	Jestem trochę spóźniony.
I want to show you how to do that.	Chcę ci pokazać, jak to zrobić.
Hand me that broom.	Podaj mi tę miotłę.
I borrowed 1,000 yen from my cousin.	Pożyczyłem tysiąc jenów od kuzyna.
The dog growled at me.	Pies warknął na mnie.
You aren't supposed to be here.	Nie powinno cię tu być.
Are you busy this week?	Jesteś zajęty w tym tygodniu?
I met Tom only once.	Widziałem Toma tylko raz.
Let's just get to work.	Po prostu weźmy się do pracy.
I'm the one with the car.	To ja mam samochód.
Talk is cheap.	Łatwo powiedzieć.
That copy differs from the original.	Kopia odbiega od oryginału.
It was her first job.	To była jej pierwsza praca.
Am I talented?	Czy jestem utalentowany?
Tom goes to school on foot.	Tom chodzi pieszo do szkoły.
Your sister is younger than mine.	Twoja siostra jest młodsza od mojej.
Tom is going to have to do that sooner or later.	Tom prędzej czy później będzie musiał to zrobić.
The second term came to an end.	Drugi semestr dobiegł końca.
These rules are reasonable.	Te zasady są rozsądne.
I realized that cats can see in the dark.	Zdałem sobie sprawę, że koty mogą widzieć w ciemności.
I never expected this to happen so soon.	Nigdy nie spodziewałem się, że to nastąpi tak szybko.
That's an old American custom.	To stary amerykański zwyczaj.
I'll buy a new one.	Kupię nowy.
Do you have any idea why Tom disappeared?	Czy wiesz może dlaczego Tom zniknął?
Can you repair it?	Możesz to nareperować?
You're late.	Jesteś spóźniona.
I bought a sandwich.	Kupiłam kanapkę.
You never told me that you didn't like Tom.	Nigdy nie mówiłeś, że nie lubisz Toma.
It is about ten minutes' walk to the station.	Na dworzec jest około dziesięciu minut spacerem.
I'm happy to see you again.	Cieszę się, że znów cię widzę.
Tom wanted to speak to Mary privately.	Tom chciał porozmawiać z Mary na osobności.
Tom's not busy.	Tom nie jest zajęty.
You should've said so earlier.	Mogłeś tak powiedzieć wcześniej.
Mary received many gifts for her birthday.	Mary dostała wiele prezentów na urodziny.
Tom is expected to arrive any minute now.	Spodziewamy się przybycia Toma w każdej chwili.
I don't understand why Tom is late.	Nie rozumiem, czemu Tom się spóźnił.
The street outside Tom's apartment building was quiet.	Ulica, przy której leżało mieszkanie Toma, była cicha.
Stay away.	Trzymaj się z daleka.
Tell Tom that I want to go, too.	Powiedz Tomowi, że ja też chcę iść.
The child came near being drowned.	Dziecko prawie się nie utopiło.
Tom won't stop you.	Tom cię nie powstrzyma.
I can't imagine a future with no electricity.	Nie potrafię wyobrazić sobie przyszłości bez elektryczności.
That will happen later.	To się stanie później.
Tom dropped this.	Upuścił to Tom.
I'm sorry that it has taken me so long to write to you.	Przepraszam, że tyle czasu zajęło mi napisanie do ciebie.
I felt like crying when I heard the news.	Czułem się, jakbym miał płakać, kiedy usłyszałem tę wiadomość.
The ground is covered with snow.	Na całej połaci śnieg.
I spent a lot of time with Tom.	Spędziłem z Tomem sporo czasu.
This is the cheapest store in town.	To najtańszy sklep w mieście.
You can't just walk away from this mess.	Nie możesz tak po prostu odejść od tego bałaganu.
I am surprised to see you here in this hotel.	Jestem zakoczony widząc cię tutaj, w tym hotelu.
He has started to write a novel.	Zaczął pisać powieść.
He's every bit as clever as his friend.	On jest w każdym calu tak sprytny jak jego przyjaciel.
I'll call you up again in an hour.	Za godzinę zadzwonię ponownie.
Democracy is one form of government.	Demokracja jest formą rządów.
Do you plan to do that again?	Czy planujesz zrobić to jeszcze raz?
What makes you so sad?	Co sprawia, że jesteście takie smutne?
Tom said that he loves me and wants to marry me.	Tom powiedział, że mnie kocha i że chce za mnie wyjść.
We should give Tom a chance.	Powinniśmy dać Tomowi szansę.
Don't waste ammunition.	Nie marnuj amunicji.
How did he know my name?	Skąd wiedział, jak się nazywam?
OK, let me drive.	Okej, daj mi prowadzić.
He will come tomorrow.	On przyjdzie jutro.
Did you get his letter?	Dostałeś jego list?
Close your eyes for three minutes.	Zamknij swoje oczy na trzy minuty.
Why didn't Tom call?	Dlaczego Tom nie zadzwonił?
Tom is dirty.	Tom jest brudny.
Where did you learn to speak French?	Gdzie nauczyłeś się mówić po francusku?
Today it's very sunny, so everyone is wearing sunglasses.	Dzisiaj jest bardzo słonecznie, więc wszyscy noszą okulary przeciwsłoneczne.
If you are tied up now, I'll call you back later on.	Jeśli teraz jesteś zajęty, oddzwonię później.
Poor eyesight is a handicap to a sportsman.	Słaby wzrok jest przeszkodą dla sportowca.
She began crying.	Zaczęła płakać.
He acted as our guide.	On robił dla nas za przewodnika.
Ignore that.	Zignorujcie to.
The dog is mine.	Ten pies jest mój.
I wonder if Tom enjoys doing that.	Zastanawiam się czy Tom lubi to robić.
We definitely need to hire more people.	Zdecydowanie musimy zatrudnić więcej ludzi.
I'm not here for that.	Nie jestem tu po to.
Thank you for inviting me.	Dziękuję za zaproszenie mnie.
Tom and Mary sat at an unpainted picnic table eating their lunch.	Tom i Mary usiedli przy niepomalowanym stole piknikowym, by zjeść obiad.
Tom, I want you to have this.	Tom, chcę, żebyś to miał.
I'm finicky.	Jestem wybredny.
He can come.	Może przyjść.
What are you doing tomorrow?	Co robisz jutro?
I know that you're not very happy about it.	Wiem, że nie jesteś z tego zbyt zadowolona.
What are you promising me?	Co mi obiecujesz?
I'm unable to answer that question.	Nie jestem w stanie odpowiedzieć na to pytanie.
I don't trust businessmen.	Nie ufam biznesmenom.
Tom didn't understand my French.	Tom nie rozumiał mojego francuskiego.
I'm about to leave.	Zaraz wychodzę.
Are you still around?	Ciągle tu jesteś?
Tom really loved Mary.	Tom naprawdę kochał Mary.
Read this book.	Przeczytaj tę książkę.
I think Tom is aggressive.	Uważam, że Tom jest agresywny.
I can't let you enter without a pass.	Nie mogę pozwolić ci wejść bez przepustki.
He walked home.	Wszedł do domu.
Tell me what to think.	Powiedz, co mam myśleć.
How big is it?	Jak duże to jest?
Tom likes Mexican food.	Tom lubi meksykańskie jedzenie.
He is a perfectionist.	Jest perfekcjonistą.
You're reserved.	Jesteś powściągliwy.
Do you think we'll have good weather tomorrow?	Myślisz, że jutro będziemy mieć dobrą pogodę?
The door is open.	Drzwi są otwarte.
The problem is not as simple as it might seem at first sight.	Ten problem nie jest taki prosty, jak się wydaje na początku.
I feel sorry.	Przykro mi.
The store closes at eleven.	Sklep zamyka się o 11.
We're so happy for you.	Cieszymy się twoim szczęściem.
Tom was never content.	Tom nigdy nie był zadowolony.
I have no insurance.	Nie mam ubezpieczenia.
Tom looks exactly the same as he always does.	Tom wygląda dokładnie tak samo jak zawsze.
Tom won't confess.	Tom nie przyzna się do winy.
That's too much!	To jest za dużo!
I helped Mommy in the kitchen.	Pomogłem mamusi w kuchni.
Your house is fantastic.	Pański dom jest wspaniały.
I'm a free man.	Jestem wolnym człowiekiem.
I didn't know apple trees grow from seeds.	Nie wiedziałem, że jabłonie wyrastają z nasion.
That isn't the best example.	To nie jest najlepszy przykład.
Tom has been badly beaten.	Tom został dotkliwie pogryziony.
There's nothing left to be said.	Nie zostało już nic do powiedzenia.
She advised him to go to the police station.	Poradziła mu iść z tym na policję.
Tom, I want to have a talk with you.	Tom, chcę z tobą porozmawiać.
I just want to know what time I'm supposed to pick Tom up.	Chcę tylko wiedzieć, o której muszę odebrać Toma.
The treaty was approved.	Traktat został zatwierdzony.
We listened.	Słuchałyśmy.
You're big.	Jesteś wielki.
Why is Tom being so nice to me?	Dlaczego Tom jest dla mnie taki miły?
You were invited.	Zostałeś zaproszony.
Can I have one?	Mogę jednego?
Who tried to kill Tom?	Kto próbował zabić Toma?
It took less than five minutes for me to write that letter.	Napisanie tego listu zajęło mi mniej niż pięć minut.
I have a doctor's appointment.	Mam wizytę u lekarza.
Thank you for your assistance.	Dziękuję za twoją pomoc.
I'm ashamed of myself.	Wstydzę się za siebie.
He doesn't know much about Japan.	On wie niewiele o Japonii.
The store is open from nine to six.	Sklep jest otwarty od dziewiątej do szóstej.
It would be better to stay home today.	Lepiej byłoby dzisiaj zostać w domu.
How often do you go abroad?	Jak często wyjeżdżasz za granicę?
Oranges are bigger than tangerines.	Pomarańcze są większe niż mandarynki.
He can help you out.	On może ci pomóc.
I heard children singing.	Usłyszałem śpiew dzieci.
That's how it all started.	Tak się właśnie zaczęło.
Let's go to my apartment.	Chodźmy do mnie.
I already said I don't know how to do that.	Już mówiłem, że nie wiem, jak to zrobić.
What's Tom's sister's name?	Jak ma na imię siostra Toma?
Tom can't remember where he hid the documents.	Tom nie pamięta gdzie schował dokumenty.
He came early in the morning.	Przyszedł wcześnie rano.
I'm wounded.	Jestem ranny.
Someone's outside.	Ktoś jest na zewnątrz.
This is my own bike.	To mój własny rower.
I have to hide this bag.	Muszę schować tę torbę.
Tom is often late for school on Mondays.	Tom często spóźnia się do szkoły w poniedziałki.
Are you doctors?	Jesteście lekarzami?
I haven't eaten French food since I left France.	Od czasu wyjazdu z Francji nie jadłem francuskiego jedzenia.
I don't know those people.	Nie znam tych ludzi.
Japan is in the eastern part of Asia.	Japonia znajduje się we wschodniej części Azji.
Tom is likely to come.	Tom pewnie przyjdzie.
Tom returns Monday.	Tom wróci w poniedziałek.
I've got to call Tom.	Muszę zadzwonić do Toma.
Where's your grandmother?	Gdzie jest twoja babcia?
Leave me alone!	Zostaw mnie w spokoju!
I haven't found it yet.	Jeszcze go go nie znalazłam.
Tom is boring.	Tom jest nudny.
Please fill out this form first.	Najpierw proszę wypełnić ten formularz.
We're horrible.	Jesteśmy okropni.
The actress greeted her fans from the stage.	Aktorka pozdrowiła fanów ze sceny.
"Will you think about it?" "Yes, I will."	"Zastanowisz się nad tym?" "Tak, zastanowię"
Today is October twentieth.	Dzisiaj jest dwudziesty października.
Who chose those colors?	Kto wybrał te kolory?
Don't come too close to the fire.	Nie podchodź zbyt blisko ognia.
Which one was Tom?	Który to był Tom?
You'll be paid according to your ability.	Będziesz dostawał pencję dostosowaną do twoich zdolności.
We saw smoke in the distance.	Zobaczyliśmy w oddali dym.
I had breakfast at 7:30.	Zjadłem śniadanie o 7:30.
Tell me the reason why you married her.	Powiedz mi, dlaczego ożeniłeś się z nią?
If you don't hurry, you'll be late.	Spóźnisz się, jak się nie pospieszysz.
Tom likes that idea.	Tomowi podoba się ten pomysł.
Everyone in the room checked their watches at the same time.	Wszyscy w pokoju spojrzeli na zegarki w tym samym momencie.
He has trouble remembering names.	Ma problemy z zapamiętywaniem nazwisk.
I didn't like doing this at first.	Na początku nie lubiłam tego robić.
I've been trying to solve this problem for hours.	Próbuję rozwiązać ten problem od kilku godzin.
Tom left his house before dawn.	Tom opuścił dom przed świtem.
I have a bad feeling about this.	Mam złe przeczucia co do tego.
What do you know?	Co wiecie?
You aren't permitted to do that without a permit, are you?	Nie możecie tego robić bez pozwolenia, prawda?
I caught three fish yesterday.	Wczoraj złapałem trzy ryby.
My feet are smaller than yours.	Moje stopy są małe w porównaniu z twoimi.
She cannot persuade him to buy her a new car.	Ona nie może go przekonać, aby kupił nowy samochód dla niej.
Why do we care about what Tom is going to do?	Czemu obchodzi nas, co Tom zamierza zrobić?
I hate being alone this time of year.	Nienawidzę być sam o tej porze roku.
I was very tired.	Byłem bardzo zmęczony.
Didn't you hear me call?	Nie słyszałaś, że cię wołałem?
Tom can go hear Mary sing at that club whenever he wants to.	Tom może iść posłuchać Mary, jak śpiewa w tym klubie, kiedy tylko chce.
He can't do it.	Nie może tego zrobić.
I'm single.	Jestem wolna.
Tom said you wanted to see me.	Tom powiedział, że chcesz się ze mną zobaczyć.
